Name	Set	ImageFile	type	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text
Ariel - On Human Legs	TFC	set1/cards/367x512/1_57d171031c4f7ec920018cdb64e028197878d050	Princess	Un	Amber	4	True	Storyborn, Hero, Princess	3	4	2	VOICELESS This character can't ⟳ to sing songs.
Ariel - Spectacular Singer	TFC	set1/cards/367x512/2_f81f70c0721c322e04e63af7256d0e541d501ebf	Princess	Su	Amber	3	True	Storyborn, Hero, Princess	2	3	1	Singer 5 (This character counts as cost 5 to sing songs.)MUSICAL DEBUT When you play this character, lookat the top 4 cards of your deck. You may reveal a songcard and put it into your hand. Put the rest on thebottom of your deck in any order.
Cinderella - Gentle and Kind	TFC	set1/cards/367x512/3_c76a90cd40688594809f03972874e8fcb7dcd250	Princess	Un	Amber	4	True	Storyborn, Hero, Princess	2	5	2	Singer 5 (This character counts as cost 5 to singsongs.)A WONDERFUL DREAM ⟳ — Remove up to 3damage from chosen Princess character.
Goofy - Musketeer	TFC	set1/cards/367x512/4_950b942eb12559cf0fd3c619ee0e81816697d02f	Musketeer	Un	Amber	5	True	Dreamborn, Hero, Musketeer	3	6	1	Bodyguard (This character may enter play exerted. Anopposing character who challenges one of your charactersmust choose one with Bodyguard if able.)AND TWO FOR TEA! When you play this character, youmay remove up to 2 damage from each of your Musketeercharacters.
Hades - King of Olympus	TFC	set1/cards/367x512/5_7e9f76e135b05b578d0aaae701a73b4775afaacc	Deity	Ra	Amber	8	False	Floodborn, Villain, King, Deity	6	7	1	Shift 6 (You may pay 6 ⬡ to play this on top ofone of your characters named Hades.)SINISTER PLOT This character gets +1 ◊ foreach other Villain character you have in play.
Hades - Lord of the Underworld	TFC	set1/cards/367x512/6_8653b4c8ad35f460c74b9b738e184d1eafce333c	Deity	Ra	Amber	4	False	Storyborn, Villain, Deity	3	2	1	WELL OF SOULS When you play this character,return a character card from your discard to yourhand.
HeiHei - Boat Snack	TFC	set1/cards/367x512/7_cc42390e7ee9cc1a89c1d4a5a609f188fbab9f93	Ally	Co	Amber	1	True	Storyborn, Ally	1	2	1	Support (Whenever this character quests, youmay add their ¤ to another chosen character's¤ this turn.)
LeFou - Bumbler	TFC	set1/cards/367x512/8_0690056f71b47b166dda2de7366aa51aa93d94c6	Ally	Un	Amber	2	True	Storyborn, Ally	1	2	2	LOYAL If you have a character named Gaston inplay, you pay 1 ⬡ less to play this character.
Lilo - Making a Wish	TFC	set1/cards/367x512/9_837a1c9346b06c991c6f08606d461a3991c9087d	Hero	Ra	Amber	1	False	Storyborn, Hero	1	1	2	
Maximus - Palace Horse	TFC	set1/cards/367x512/10_2e9d2bbcd27f406ffa5b9a05a23695e1d71c416b	Ally	Su	Amber	5	True	Storyborn, Ally	4	5	1	Bodyguard (This character may enter play exerted.An opposing character who challenges one of yourcharacters must choose one with Bodyguard if able.)Support (Whenever this character quests, you mayadd their ¤ to another chosen character's ¤ thisturn.)
